show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_number,duration_unit
s4724,Movie,Hidden Shadow,Omar Ali,"Liam Smith, Ahmed Petrov, Maria Lopez, John Ali, Maria Brown",Unknown,2008-07-02,2006,PG,73 min,Thrillers,A gripping story about love.,2008,July,73,min
s2310,TV Show,Wild Garden,Unknown,"Grace Smith, Yuki Sharma, Ahmed Petrov, Sofia Wang",Egypt,2021-05-25,2020,TV-G,1 Season,Reality TV,A gripping story about survival.,2021,May,1,Season
s7027,Movie,Silent Night II,Aarav Sharma,"Ahmed Brown, Fatima Khan, Liam Brown, Grace Khan, Aarav Smith",Unknown,2012-07-26,2009,TV-G,135 min,"Dramas, Independent Movies",A chilling story about family.,2012,July,135,min
s7873,Movie,Wild Promise,Liam Novak,"Diego Khan, Sofia Wilson, Fatima Smith, Grace Brown",India,2021-01-14,2021,G,111 min,Horror Movies,A sweeping story about survival.,2021,January,111,min
s5235,TV Show,Silent Road 2,Omar Hassan,"Yuki Garcia, Diego Khan, Chen Wang, Ahmed Khan",Turkey,2019-11-16,2017,TV-PG,1 Season,TV Comedies,A heartfelt story about family.,2019,November,1,Season
s5452,Movie,Endless Shadow Begins,Chen Garcia,"Yuki Hassan, Liam Wang, Maria Garcia, Chen Brown, Chen Lopez, Grace Brown",United States,2010-08-06,2008,TV-G,114 min,Comedies,A heartfelt story about ambition.,2010,August,114,min
s7193,Movie,Silent Summer Returns,Liam Kumar,"Sofia Sharma, Liam Smith, Elena Brown, Anna Brown, John Rossi, Elena Novak, Yuki Tanaka",Turkey,2020-05-09,2020,NR,108 min,"Documentaries, International Movies",A chilling story about family.,2020,May,108,min
s816,Movie,Broken River 2,John Tanaka,"Grace Sharma, Ahmed Khan, Diego Ali, Fatima Brown, Raj Khan, Raj Tanaka",Canada,2021-05-10,2021,TV-MA,114 min,Thrillers,A heartfelt story about ambition.,2021,May,114,min
s1473,Movie,Hidden Journey,Sofia Rossi,"Anna Rossi, Aarav Kumar, Sofia Smith",United States,2013-09-06,2012,R,96 min,"Documentaries, International Movies",A hilarious story about family.,2013,September,96,min
s6665,Movie,Last City,John Tanaka,"Hiroshi Ali, Omar Novak, Ahmed Wilson, Raj Petrov, Omar Rossi",Egypt,2017-02-25,2017,TV-PG,119 min,"Comedies, International Movies",A gripping story about ambition.,2017,February,119,min
s7842,Movie,Hidden Promise,Maria Ali,"Elena Rossi, Omar Ali, Diego Wilson, Grace Lopez, Elena Tanaka",India,2021-02-01,2021,TV-G,99 min,Horror Movies,A sweeping story about revenge.,2021,February,99,min
s1190,TV Show,Rising Shadow 2,Unknown,Unknown,United States,2008-11-15,2007,TV-Y,1 Season,Kids' TV,A gripping story about survival.,2008,November,1,Season
s786,Movie,Rising Night 2,John Kumar,"Omar Tanaka, Liam Sato, John Khan, Diego Rossi",India,2008-02-27,2004,TV-G,94 min,Documentaries,A chilling story about family.,2008,February,94,min
s6354,TV Show,Rising Garden,Unknown,"Diego Khan, Hiroshi Ali, Raj Sato, Maria Kumar",United States,2014-10-19,2009,TV-MA,2 Seasons,"British TV Shows, TV Dramas",A heartfelt story about ambition.,2014,October,2,Seasons
s7309,Movie,Broken Kingdom,Sofia Petrov,"Diego Garcia, Yuki Ali, Ahmed Wang, Fatima Brown, Ahmed Novak",India,2019-01-17,2018,R,132 min,Children & Family Movies,A sweeping story about ambition.,2019,January,132,min
s4358,Movie,Lost Story,Anna Rossi,"Maria Hassan, Grace Brown, Ahmed Rossi",India,2012-04-05,2011,TV-MA,98 min,"Comedies, International Movies",A chilling story about love.,2012,April,98,min
s6727,Movie,Hidden Night II,Omar Garcia,"Grace Sato, Fatima Sato, Yuki Garcia, Sofia Sharma",India,2019-11-22,2017,TV-MA,93 min,Comedies,A chilling story about survival.,2019,November,93,min
s4132,Movie,Wild Garden,Maria Smith,Unknown,United States,2008-11-04,2003,TV-14,78 min,"Documentaries, International Movies",A gripping story about revenge.,2008,November,78,min
s5663,Movie,Crimson Journey,Chen Sharma,"Aarav Tanaka, Omar Sato, Raj Ali, Liam Rossi, Sofia Khan, Liam Lopez, Maria Kumar",India,2010-09-02,2009,PG-13,93 min,"Documentaries, International Movies",A gripping story about love.,2010,September,93,min
s5660,TV Show,Dark Kingdom Begins,Unknown,Unknown,United States,2018-06-06,2013,TV-Y7,8 Seasons,TV Comedies,A sweeping story about ambition.,2018,June,8,Seasons
s7508,Movie,Silent City,Yuki Petrov,"John Sato, Maria Sato, Chen Lopez, Maria Kumar, Elena Wang",Spain,2012-07-25,2011,R,108 min,Thrillers,A hilarious story about revenge.,2012,July,108,min
s907,TV Show,Hidden Heart Returns,Unknown,"Sofia Rossi, Anna Hassan, Anna Wilson, Hiroshi Novak, Yuki Rossi, Maria Wang, Fatima Khan",Spain,2008-11-23,2008,TV-14,8 Seasons,Reality TV,A chilling story about family.,2008,November,8,Seasons
s4507,Movie,Lost Story,John Wang,"Fatima Lopez, Raj Lopez, Sofia Hassan, Hiroshi Wang, Elena Kumar, Grace Brown, Raj Rossi",United States,2008-04-15,2007,NR,110 min,"Dramas, Independent Movies",A sweeping story about love.,2008,April,110,min
s3288,Movie,Endless Heart,Elena Ali,"Grace Novak, Maria Brown, Yuki Wang, John Sharma, Yuki Hassan, Yuki Wilson, Elena Hassan",South Korea,2013-04-23,2012,PG,91 min,Action & Adventure,A sweeping story about revenge.,2013,April,91,min
s3350,Movie,Frozen Dream,Grace Khan,"John Lopez, John Ali, Raj Sharma",South Korea,2009-08-26,2008,PG-13,85 min,Action & Adventure,A chilling story about love.,2009,August,85,min
s5935,TV Show,Lost Story,Unknown,"Anna Lopez, Raj Tanaka, Chen Lopez, Fatima Rossi, Sofia Kumar",Canada,2021-11-11,2021,TV-MA,4 Seasons,TV Comedies,A sweeping story about survival.,2021,November,4,Seasons
s1770,Movie,Distant Night,Maria Wang,"Yuki Sharma, Hiroshi Sato, Ahmed Sharma, John Novak, Grace Rossi, Ahmed Tanaka, Fatima Hassan",United States,2012-03-08,2007,PG-13,89 min,Comedies,A gripping story about survival.,2012,March,89,min
s7147,Movie,Lost Horizon,Fatima Wang,"Diego Rossi, Omar Sharma, Grace Sharma, Yuki Ali, Raj Wilson, Ahmed Sharma, Raj Sato, Liam Wang",United States,2017-06-13,2016,TV-MA,134 min,"Dramas, Independent Movies",A chilling story about love.,2017,June,134,min
s7986,TV Show,Rising Garden II,Chen Khan,"Anna Sharma, John Novak, Grace Brown, Aarav Petrov, Diego Sato, Diego Khan, Diego Hassan",United States,2008-01-14,2005,TV-14,4 Seasons,Docuseries,A hilarious story about family.,2008,January,4,Seasons
s1067,TV Show,Lost Empire 2,Hiroshi Ali,"Sofia Kumar, Grace Tanaka, Diego Tanaka, Diego Wang, Ahmed Garcia, Omar Rossi, Elena Rossi",Canada,2012-03-16,2009,TV-G,8 Seasons,Docuseries,A heartfelt story about love.,2012,March,8,Seasons
s8147,TV Show,Wild Shadow,Unknown,"Grace Petrov, Hiroshi Wilson, Fatima Wang, Yuki Petrov",India,2014-06-27,2014,TV-PG,4 Seasons,"International TV Shows, TV Dramas",A sweeping story about revenge.,2014,June,4,Seasons
s7023,TV Show,Distant Summer,Unknown,"Yuki Petrov, Raj Hassan, Aarav Brown, Yuki Sato, Fatima Tanaka, Aarav Petrov, Sofia Brown, Sofia Sharma",United Kingdom,2021-05-09,2020,TV-Y,2 Seasons,Kids' TV,A chilling story about love.,2021,May,2,Seasons
s4953,Movie,Hidden Horizon,Maria Kumar,"John Kumar, Yuki Tanaka, Ahmed Hassan, John Ali, John Novak, Grace Lopez, Chen Tanaka, Ahmed Wang",India,2011-03-16,2008,TV-PG,129 min,"Dramas, International Movies",A heartfelt story about love.,2011,March,129,min
s3319,Movie,Crimson Horizon,John Smith,"Elena Ali, Omar Ali, Ahmed Sato, Hiroshi Ali, Diego Tanaka, Elena Wang",India,2021-10-16,2021,TV-G,69 min,"Dramas, Independent Movies",A heartfelt story about family.,2021,October,69,min
s5286,Movie,Broken Story II,Fatima Sato,"Maria Petrov, Raj Sato, Anna Lopez, Yuki Novak, Liam Novak, Diego Sharma",India,2017-09-07,2017,TV-G,56 min,"Documentaries, International Movies",A sweeping story about ambition.,2017,September,56,min
s2750,TV Show,Silent Night,Unknown,"Chen Garcia, Omar Hassan, Omar Ali, Maria Wang",Mexico,2021-12-06,2018,TV-14,2 Seasons,TV Comedies,A chilling story about love.,2021,December,2,Seasons
s8125,Movie,Crimson Horizon,Elena Brown,"Elena Lopez, Diego Kumar, Diego Petrov",United Kingdom,2020-10-14,2019,PG-13,144 min,Comedies,A hilarious story about love.,2020,October,144,min
s6540,TV Show,Hidden Shadow,Ahmed Petrov,"Sofia Ali, Diego Brown, Liam Novak, Sofia Hassan, Elena Sharma, Diego Khan, Diego Wang, John Hassan",United States,2021-06-09,2021,TV-PG,1 Season,TV Comedies,A sweeping story about revenge.,2021,June,1,Season
s6429,TV Show,Dark Promise,Unknown,"Anna Petrov, Ahmed Sharma, Diego Rossi",United States,2010-12-28,2005,TV-G,1 Season,Docuseries,A heartfelt story about revenge.,2010,December,1,Season
s2956,TV Show,Endless Garden,Unknown,"Hiroshi Lopez, Fatima Sharma, Liam Ali",China,2008-12-26,2005,TV-Y7,1 Season,Reality TV,A hilarious story about love.,2008,December,1,Season
s1178,Movie,Secret Kingdom,Omar Sharma,"Sofia Khan, Liam Sharma, Omar Sato, Sofia Novak, Elena Khan, Grace Garcia",Egypt,2013-11-05,2008,G,82 min,Documentaries,A heartfelt story about revenge.,2013,November,82,min
s4693,Movie,Rising Night,Yuki Hassan,"Ahmed Sharma, Grace Tanaka, Raj Brown, Hiroshi Smith, Omar Smith, Maria Sato, Hiroshi Lopez",United States,2017-05-21,2016,TV-G,80 min,Comedies,A heartfelt story about love.,2017,May,80,min
s6029,Movie,Dark Empire,Liam Sharma,"Omar Tanaka, Hiroshi Khan, Omar Wang, Grace Wilson, Raj Wang",United Kingdom,2021-08-15,2021,R,119 min,"Documentaries, International Movies",A chilling story about survival.,2021,August,119,min
s4647,Movie,Rising Dream,Hiroshi Wang,"Sofia Garcia, Aarav Petrov, Yuki Novak, Sofia Smith, Yuki Smith, Anna Petrov",United States,2009-10-13,2009,PG,109 min,"Comedies, International Movies",A chilling story about love.,2009,October,109,min
s7917,Movie,Hidden Promise,Grace Rossi,"Anna Sato, Sofia Lopez, Liam Petrov, Raj Ali",United States,2018-06-21,2015,TV-G,80 min,"Documentaries, International Movies",A gripping story about survival.,2018,June,80,min
s7143,Movie,Burning Kingdom Returns,Diego Novak,Unknown,Canada,2017-02-13,2017,TV-G,98 min,Horror Movies,A sweeping story about ambition.,2017,February,98,min
s1072,Movie,Wild Dream Returns,Aarav Khan,"Fatima Novak, Anna Petrov, Elena Novak, Fatima Garcia, Sofia Lopez, Fatima Sato, Sofia Sato, Raj Sato",United States,2020-01-24,2015,PG,119 min,"Comedies, International Movies",A heartfelt story about revenge.,2020,January,119,min
s5906,TV Show,Rising Shadow Begins,Unknown,"Sofia Lopez, Aarav Novak, Sofia Khan, Hiroshi Sato, Aarav Wilson, John Kumar, Diego Sharma, Ahmed Smith",United States,2020-05-28,2015,TV-Y,1 Season,Reality TV,A sweeping story about survival.,2020,May,1,Season
s7592,TV Show,Secret Horizon Forever,Unknown,"Yuki Ali, Raj Garcia, Grace Rossi, Liam Tanaka",United Kingdom,2014-09-12,2013,TV-Y,5 Seasons,Anime Series,A sweeping story about ambition.,2014,September,5,Seasons
s4439,Movie,Frozen Journey Returns,Elena Sato,"Chen Sato, Aarav Smith, Chen Tanaka",India,2008-09-01,2005,NR,124 min,"Documentaries, International Movies",A hilarious story about revenge.,2008,September,124,min
s8263,Movie,Distant Summer,Unknown,Unknown,United States,2021-06-07,2021,PG,83 min,"Dramas, International Movies",A gripping story about survival.,2021,June,83,min
s2769,Movie,Distant Road,Liam Novak,"Ahmed Hassan, Aarav Novak, Grace Petrov, Liam Garcia",Spain,2020-10-10,2018,TV-G,110 min,Documentaries,A chilling story about revenge.,2020,October,110,min
s5041,TV Show,Frozen City,Unknown,"Sofia Petrov, Maria Ali, Elena Garcia, Hiroshi Sharma, Diego Ali, Anna Wang",Egypt,2021-09-26,2021,TV-MA,2 Seasons,Anime Series,A sweeping story about ambition.,2021,September,2,Seasons
s4083,TV Show,Endless Promise Returns,Unknown,"Omar Wilson, Yuki Wilson, Elena Sato, Fatima Garcia, Aarav Petrov, Fatima Garcia",India,2021-08-09,2021,TV-Y,5 Seasons,Kids' TV,A gripping story about revenge.,2021,August,5,Seasons
s1878,Movie,Hidden Kingdom,Chen Ali,"Yuki Sharma, Ahmed Novak, Liam Petrov",United States,2019-06-19,2017,PG-13,74 min,"Dramas, International Movies",A gripping story about survival.,2019,June,74,min
s2291,Movie,Crimson Kingdom Returns,Hiroshi Rossi,"Liam Novak, Aarav Tanaka, Anna Wang, Liam Petrov, Yuki Hassan",India,2010-11-04,2007,TV-G,134 min,"Dramas, Independent Movies",A sweeping story about revenge.,2010,November,134,min
s6000,Movie,Rising Road 2,Ahmed Lopez,"John Wilson, Elena Lopez, Raj Petrov, Raj Novak, Grace Sharma, Maria Petrov",Unknown,2021-10-06,2021,PG-13,119 min,"Dramas, Independent Movies",A heartfelt story about ambition.,2021,October,119,min
s912,TV Show,Lost Road Returns,Unknown,"Maria Smith, Raj Wang, Sofia Petrov, Maria Rossi, Diego Smith, Elena Rossi, Sofia Brown, Sofia Tanaka",Mexico,2021-10-07,2019,TV-MA,1 Season,TV Comedies,A sweeping story about revenge.,2021,October,1,Season
s5805,Movie,Frozen Horizon,Maria Petrov,"Omar Novak, Anna Sato, Maria Brown, Hiroshi Wang",Japan,2008-02-09,2006,G,95 min,Documentaries,A sweeping story about love.,2008,February,95,min
s2104,Movie,Golden Kingdom,Liam Smith,"Fatima Brown, John Sato, Omar Sharma, Hiroshi Brown",Turkey,2013-01-08,2011,TV-14,127 min,"Documentaries, International Movies",A sweeping story about love.,2013,January,127,min
s7033,Movie,Rising Shadow 2,Anna Tanaka,"Diego Wang, Hiroshi Sharma, Sofia Lopez, Raj Lopez, Hiroshi Garcia, Liam Petrov, Fatima Garcia",United States,2008-05-10,2005,PG-13,127 min,Action & Adventure,A chilling story about survival.,2008,May,127,min
s7417,TV Show,Last City,Unknown,"Chen Novak, Aarav Smith, Sofia Hassan, Omar Wang, John Smith",Japan,2020-09-05,2019,TV-Y,1 Season,"British TV Shows, TV Dramas",A sweeping story about survival.,2020,September,1,Season
s6741,Movie,Silent Shadow II,Liam Petrov,"Grace Smith, John Sato, Chen Sharma, Yuki Khan, Maria Kumar",United States,2021-12-22,2021,PG,117 min,Thrillers,A hilarious story about family.,2021,December,117,min
s8256,Movie,Distant Road,Sofia Brown,"Ahmed Tanaka, Chen Lopez, Omar Kumar, John Khan, Grace Hassan, Chen Kumar, Yuki Rossi",India,2012-03-20,2011,TV-PG,97 min,Documentaries,A chilling story about love.,2012,March,97,min
s3714,TV Show,Frozen Kingdom 2,Unknown,"Diego Garcia, Maria Khan, Omar Smith, Diego Ali, Elena Smith",United States,2016-01-10,2011,TV-PG,3 Seasons,"Crime TV Shows, TV Dramas",A gripping story about revenge.,2016,January,3,Seasons
s153,Movie,Hidden Journey Begins,Grace Wilson,"Liam Tanaka, Elena Brown, Fatima Sato, Sofia Wang",United States,2008-06-06,2007,G,97 min,Horror Movies,A chilling story about family.,2008,June,97,min
s3880,TV Show,Endless Dream,Unknown,"Fatima Petrov, Elena Kumar, Elena Wilson, Anna Novak",United States,2014-02-04,2013,TV-Y7,4 Seasons,"International TV Shows, TV Dramas",A chilling story about ambition.,2014,February,4,Seasons
s7503,TV Show,Silent Heart 2,Unknown,Unknown,Unknown,2021-09-17,2021,TV-Y,1 Season,Anime Series,A heartfelt story about ambition.,2021,September,1,Season
s528,Movie,Burning Summer Begins,Diego Novak,"Fatima Novak, Chen Wang, Ahmed Rossi, Anna Kumar, Ahmed Smith, Hiroshi Hassan, Liam Wilson",India,2016-05-13,2015,TV-14,100 min,"Documentaries, International Movies",A gripping story about survival.,2016,May,100,min
s5083,Movie,Crimson Horizon,Fatima Kumar,"Fatima Brown, Fatima Kumar, Aarav Sharma, Raj Wilson, Yuki Novak, Omar Lopez",France,2021-03-06,2019,TV-14,135 min,Action & Adventure,A chilling story about survival.,2021,March,135,min
s3696,Movie,Lost Road,Fatima Smith,"Maria Sharma, Diego Ali, Elena Petrov, John Sharma, John Lopez, Omar Wilson",United Kingdom,2019-02-14,2017,R,72 min,Children & Family Movies,A chilling story about ambition.,2019,February,72,min
s5437,Movie,Endless Promise,Anna Petrov,"Hiroshi Brown, Fatima Tanaka, Raj Novak",United Kingdom,2008-02-12,2008,PG,74 min,"Comedies, International Movies",A hilarious story about revenge.,2008,February,74,min
s7429,Movie,Broken Journey,Yuki Ali,"Aarav Sato, Diego Tanaka, Yuki Wang",United States,2021-03-17,2021,TV-G,111 min,"Dramas, Independent Movies",A gripping story about ambition.,2021,March,111,min
s4557,Movie,Last Empire,Hiroshi Rossi,"Elena Sharma, Liam Novak, Liam Khan",Unknown,2021-04-26,2021,NR,61 min,Comedies,A hilarious story about ambition.,2021,April,61,min
s688,Movie,Silent River Begins,Elena Brown,"John Lopez, Yuki Ali, Anna Smith, Hiroshi Sato, Elena Brown, Yuki Khan, Maria Tanaka, Hiroshi Petrov",France,2015-03-09,2013,PG-13,77 min,"Comedies, International Movies",A heartfelt story about ambition.,2015,March,77,min
s1846,Movie,Last Promise,Hiroshi Wang,"Chen Khan, Grace Hassan, Aarav Ali, Sofia Ali, John Brown",India,2014-01-26,2014,TV-G,89 min,Children & Family Movies,A chilling story about family.,2014,January,89,min
s300,Movie,Crimson Garden Forever,Yuki Sato,"Aarav Ali, Grace Brown, Maria Lopez, Omar Brown, Omar Garcia, Grace Wang, Grace Kumar, Fatima Novak",Unknown,2016-09-24,2013,R,93 min,Thrillers,A hilarious story about family.,2016,September,93,min
s195,Movie,Distant Horizon 2,Omar Wang,"Liam Novak, Omar Kumar, Ahmed Garcia, Chen Wang, Anna Ali, Hiroshi Brown, Diego Hassan, Sofia Wilson",India,2011-05-09,2009,TV-PG,120 min,"Dramas, International Movies",A gripping story about family.,2011,May,120,min
s7513,Movie,Distant City,Omar Sharma,"Omar Petrov, Omar Tanaka, Omar Wang",Unknown,2015-07-13,2014,G,103 min,Documentaries,A heartfelt story about revenge.,2015,July,103,min
s686,TV Show,Wild Kingdom,Unknown,"Fatima Garcia, Hiroshi Lopez, Aarav Ali, Hiroshi Rossi, Omar Kumar",United States,2013-11-11,2012,TV-G,1 Season,Docuseries,A heartfelt story about ambition.,2013,November,1,Season
s2613,Movie,Wild Empire,Omar Smith,"Yuki Wilson, Maria Brown, Sofia Wilson, Maria Garcia, Ahmed Lopez, Raj Tanaka",India,2017-06-15,2016,G,106 min,"Comedies, International Movies",A hilarious story about love.,2017,June,106,min
s587,TV Show,Lost Empire Begins,Chen Hassan,Unknown,India,2021-06-10,2020,TV-G,1 Season,"International TV Shows, TV Dramas",A hilarious story about ambition.,2021,June,1,Season
s1,Movie,Silent Dream 2,Maria Smith,"Aarav Rossi, Fatima Brown, Diego Petrov, Aarav Hassan, Fatima Khan, Elena Wang, Sofia Khan",Unknown,2017-12-04,2017,NR,95 min,Comedies,A chilling story about family.,2017,December,95,min
s7405,Movie,Lost Story 2,Elena Brown,"John Wilson, Liam Hassan, Hiroshi Garcia, John Ali, Fatima Hassan, Diego Smith",United States,2021-02-11,2021,PG,97 min,"Dramas, Independent Movies",A heartfelt story about family.,2021,February,97,min
s4513,Movie,Golden Summer,Sofia Novak,"Raj Kumar, Diego Garcia, Grace Smith, Anna Wilson, Ahmed Wang",France,2021-05-22,2016,G,85 min,"Dramas, International Movies",A chilling story about love.,2021,May,85,min
s6097,TV Show,Last Journey Returns,Hiroshi Ali,"Sofia Hassan, Sofia Sharma, Chen Smith",South Korea,2009-02-20,2007,TV-Y,2 Seasons,Docuseries,A heartfelt story about love.,2009,February,2,Seasons
s459,Movie,Crimson Shadow Forever,Elena Wang,"Omar Kumar, Ahmed Wang, Ahmed Hassan, Chen Rossi, Hiroshi Garcia, Fatima Tanaka, Maria Tanaka",India,2021-09-14,2019,PG,109 min,Horror Movies,A sweeping story about revenge.,2021,September,109,min
s8305,Movie,Crimson Night,Elena Wang,"Elena Garcia, Ahmed Sato, Aarav Sato, Omar Smith, Aarav Garcia, Raj Tanaka",United States,2017-02-11,2016,TV-MA,55 min,Documentaries,A heartfelt story about ambition.,2017,February,55,min
s5986,Movie,Last Story,Fatima Sato,Unknown,Canada,2017-04-28,2016,PG,105 min,"Dramas, Independent Movies",A hilarious story about family.,2017,April,105,min
s21,Movie,Broken Night Begins,Liam Rossi,"Yuki Rossi, Diego Petrov, Grace Hassan, Yuki Hassan, Raj Tanaka, Aarav Sharma",Canada,2008-06-08,2005,TV-14,103 min,"Dramas, International Movies",A chilling story about love.,2008,June,103,min
s3478,Movie,Secret Journey,Fatima Rossi,"Fatima Wilson, Raj Tanaka, Sofia Sharma, Sofia Sato, Omar Kumar, Diego Kumar, Anna Tanaka",United States,2017-09-03,2017,PG-13,125 min,Children & Family Movies,A chilling story about survival.,2017,September,125,min
s1721,Movie,Crimson City II,Hiroshi Smith,"Liam Garcia, Elena Rossi, Anna Ali",Japan,2018-04-09,2018,PG-13,101 min,Horror Movies,A hilarious story about love.,2018,April,101,min
s1403,TV Show,Secret River 2,Unknown,"Anna Lopez, Aarav Petrov, Liam Garcia, Omar Smith, Hiroshi Kumar",Unknown,2008-04-04,2003,TV-PG,1 Season,"Crime TV Shows, TV Dramas",A heartfelt story about ambition.,2008,April,1,Season
s7519,Movie,Golden Night,Raj Kumar,"Fatima Sato, Aarav Wang, Fatima Lopez, John Novak, Elena Ali, Fatima Wilson, Grace Hassan, Chen Lopez",United Kingdom,2014-11-28,2012,G,106 min,Documentaries,A hilarious story about revenge.,2014,November,106,min
s3871,Movie,Hidden Dream,Hiroshi Lopez,"Yuki Wang, Anna Ali, Omar Garcia, Omar Wilson, Omar Kumar",Canada,2015-03-06,2015,TV-14,94 min,Action & Adventure,A hilarious story about revenge.,2015,March,94,min
s46,Movie,Secret Heart Returns,Elena Rossi,"Omar Novak, Diego Lopez, Ahmed Khan",United States,2008-12-27,2000,R,94 min,Action & Adventure,A chilling story about survival.,2008,December,94,min
s2716,Movie,Crimson Summer Returns,Ahmed Lopez,"Anna Khan, Liam Lopez, Omar Sato, Liam Rossi, Diego Petrov, Grace Petrov",Canada,2012-12-01,2012,R,93 min,"Comedies, International Movies",A gripping story about ambition.,2012,December,93,min
s5615,Movie,Crimson Journey,Liam Tanaka,"Grace Sharma, Elena Brown, Sofia Lopez",Pakistan,2014-08-11,2012,TV-MA,89 min,"Documentaries, International Movies",A chilling story about love.,2014,August,89,min
s3847,Movie,Burning Shadow Begins,Aarav Petrov,"Sofia Rossi, Elena Khan, Anna Kumar, Diego Lopez",South Korea,2016-01-21,2013,TV-14,124 min,Comedies,A gripping story about family.,2016,January,124,min
s2303,TV Show,Burning Promise 2,Unknown,"Anna Khan, Yuki Sharma, Grace Sato, Hiroshi Rossi",Mexico,2015-07-27,2015,TV-PG,2 Seasons,TV Comedies,A sweeping story about survival.,2015,July,2,Seasons
s4403,Movie,Rising Promise,Grace Kumar,"Liam Khan, Elena Rossi, Liam Wilson",Unknown,2017-01-09,2014,TV-MA,115 min,Horror Movies,A sweeping story about love.,2017,January,115,min
s1614,Movie,Rising Promise,Aarav Petrov,"Hiroshi Kumar, Maria Ali, Anna Lopez, Liam Rossi, Aarav Sato, Hiroshi Wilson",South Korea,2020-08-11,2017,TV-14,99 min,"Dramas, Independent Movies",A heartfelt story about family.,2020,August,99,min
s6498,Movie,Secret Kingdom II,Yuki Ali,Unknown,Nigeria,2021-10-12,2021,NR,130 min,Thrillers,A heartfelt story about ambition.,2021,October,130,min
s6593,Movie,Frozen Garden,Yuki Garcia,"Raj Ali, Maria Wang, Yuki Brown, Yuki Lopez",United Kingdom,2018-10-13,2017,TV-14,86 min,"Dramas, Independent Movies",A gripping story about love.,2018,October,86,min
s5887,TV Show,Silent Promise,Unknown,"Sofia Khan, Raj Wang, Liam Smith, Diego Novak, Raj Ali, Sofia Tanaka, Fatima Brown",Japan,2012-10-12,2012,TV-G,8 Seasons,"Crime TV Shows, TV Dramas",A hilarious story about revenge.,2012,October,8,Seasons
s1177,Movie,Hidden Heart 2,Hiroshi Smith,"Yuki Novak, Fatima Wilson, Raj Ali, Yuki Petrov, Yuki Tanaka",Germany,2021-06-05,2020,TV-PG,63 min,"Comedies, International Movies",A gripping story about family.,2021,June,63,min
s1937,Movie,Wild Horizon Returns,Chen Lopez,"Chen Tanaka, Omar Garcia, Grace Tanaka, Yuki Sharma, Anna Sharma, Chen Ali",Egypt,2008-01-22,1998,TV-14,118 min,Action & Adventure,A sweeping story about ambition.,2008,January,118,min
s5080,Movie,Silent Shadow Forever,Chen Garcia,"Anna Ali, Raj Petrov, Omar Hassan, Aarav Kumar, Omar Wilson, John Tanaka, Fatima Garcia, Liam Lopez",United States,2021-12-12,2021,TV-PG,100 min,"Dramas, Independent Movies",A gripping story about love.,2021,December,100,min
s8086,Movie,Golden Horizon Forever,Fatima Wilson,"Raj Tanaka, Grace Petrov, Diego Smith, Liam Rossi, Omar Wilson, Yuki Rossi, Diego Brown, Raj Tanaka",United States,2012-04-14,2011,TV-PG,100 min,Thrillers,A heartfelt story about ambition.,2012,April,100,min
s5293,Movie,Golden City,Diego Tanaka,Unknown,Mexico,2017-07-25,2015,G,94 min,Documentaries,A sweeping story about survival.,2017,July,94,min
s2612,Movie,Golden Journey,Hiroshi Hassan,"Raj Garcia, Diego Wilson, Diego Lopez, Aarav Kumar, Omar Smith",India,2017-04-14,2016,TV-MA,101 min,"Dramas, Independent Movies",A chilling story about ambition.,2017,April,101,min
s2560,Movie,Silent Road,Fatima Rossi,"Fatima Petrov, Anna Tanaka, Fatima Kumar, Anna Garcia, Aarav Rossi, Chen Garcia, Maria Garcia",India,2020-07-03,2020,TV-PG,113 min,Children & Family Movies,A gripping story about survival.,2020,July,113,min
s2467,Movie,Frozen Empire,Sofia Kumar,Unknown,United States,2020-05-27,2019,TV-14,58 min,Action & Adventure,A gripping story about ambition.,2020,May,58,min
s7,Movie,Lost Garden Begins,Fatima Rossi,"Raj Sato, Grace Lopez, Diego Tanaka, Liam Brown, John Khan, Aarav Brown, Liam Smith, John Kumar",South Korea,2021-03-05,2017,G,88 min,"Comedies, International Movies",A hilarious story about family.,2021,March,88,min
s4675,TV Show,Rising Promise,Unknown,"Hiroshi Tanaka, Anna Wilson, Yuki Kumar, Ahmed Ali, Sofia Khan, John Sharma, Omar Khan",United States,2021-06-28,2021,TV-Y,4 Seasons,Anime Series,A hilarious story about survival.,2021,June,4,Seasons
s2324,Movie,Dark Garden,Chen Khan,"Elena Wilson, Hiroshi Wang, Ahmed Sato, Chen Rossi, Maria Petrov, Fatima Rossi, Liam Novak",South Korea,2016-03-05,2015,G,82 min,"Comedies, International Movies",A hilarious story about love.,2016,March,82,min
s2134,Movie,Wild Road II,Hiroshi Khan,"Grace Sato, Omar Sato, Aarav Hassan, Anna Smith, Maria Sato, Sofia Hassan, Chen Novak",Canada,2010-11-17,2008,G,115 min,Comedies,A hilarious story about family.,2010,November,115,min
s3598,TV Show,Frozen Empire,Unknown,"Yuki Lopez, Aarav Garcia, Sofia Ali",India,2015-09-10,2014,TV-G,4 Seasons,"Crime TV Shows, TV Dramas",A gripping story about family.,2015,September,4,Seasons
s4657,Movie,Crimson Heart,Raj Novak,"Raj Kumar, Omar Rossi, Hiroshi Novak",United States,2012-11-01,2012,PG,117 min,Comedies,A gripping story about ambition.,2012,November,117,min
